"","R'S ID-SERIAL #","SAMPLING WEIGHT","year","Sex","Race","High_school_grades","College_aspirations","Parents_education","Social_Trust","Social_Responsibility","Religiosity","Cigarettes_Lifetime","Cigarettes_30Day","Alcohol_Lifetime","Alcohol_30Day","Binge_Drinking","Marijuana_Lifetime","Marijuana_30Day","Other_illicit_drugs_Lifetime","Other_illicit_drugs_30Day","Hallucinogens_Lifetime","Hallucinogens_30Day","Cocaine_Lifetime","Cocaine_30Day","Amphetamines_Lifetime","Amphetamines_30Day","Barbiturates_Lifetime","Barbiturates_30Day","Tranquilizers_Lifetime","Tranquilizers_30Day","Narcotics_Lifetime","Narcotics_30Day"
"30",10074,2.0963,2009,"Male","White",6,"4-year college plans","4",1.33333333333333,1.66666666666667,-0.48271561308404,1,1,7,3,3,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"31",10075,0.5481,2009,"Female","Other/missing",6,"4-year college plans","3",1.33333333333333,2.66666666666667,-0.48271561308404,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"32",10076,0.5007,2009,"Female","White",8,"4-year college plans","6",1,1.66666666666667,-0.929277577458375,3,1,3,1,1,3,1,"Yes","No",1,1,1,1,1,1,2,1,1,1,1,1
"33",10080,1.834,2009,"Male","Hispanic",7,"4-year college plans","3",2.33333333333333,1.66666666666667,-0.0332074296120937,2,1,2,2,2,2,2,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"34",10081,1.4863,2009,"Male","White",3,"4-year college plans","3",1.33333333333333,2.33333333333333,-1.37583954183271,1,1,3,2,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"35",10082,0.5174,2009,"Female","Black",6,"4-year college plans","3",1,3.33333333333333,1.30795157305972,1,1,3,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"36",10083,2.7177,2009,"Male","White",5,"2-year college plans","4",1.66666666666667,1.66666666666667,-1.37583954183271,2,1,3,3,4,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"37",10084,0.4373,2009,"Female","Hispanic",6,"4-year college plans","4",1.33333333333333,3.33333333333333,0.861389608685382,2,1,5,3,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"38",10085,1.3973,2009,"Male","White",9,"4-year college plans","4",1,2,-0.481242503535234,5,4,7,5,3,7,6,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"39",10086,0.4184,2009,"Female","Black",7,"4-year college plans","5",1.33333333333333,3,0.859916499136577,1,1,3,1,1,2,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"40",10088,0.5281,2009,"Male","White",4,"4-year college plans","3",1.33333333333333,1.33333333333333,-1.37583954183271,5,4,7,6,5,7,5,"Yes","Yes",4,1,4,2,5,2,3,2,5,2,6,3
"41",10089,1.6179,2009,"Female","White",7,"4-year college plans","4",1,2.66666666666667,-0.0346805391608991,1,1,2,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"42",10090,1.2553,2009,"Male","Other/missing",4,"No college plans","4",1,2.33333333333333,-0.481242503535234,1,1,5,2,1,4,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"43",10091,0.4845,2009,"Female","White",7,"4-year college plans","6",1,2,-0.92780446790957,5,3,7,5,4,7,2,"Yes","No",1,1,1,1,3,1,1,1,1,1,4,1
"44",10092,0.9809,2009,"Male","White",3,"2-year college plans","3",2.66666666666667,1,-1.37583954183271,5,4,3,3,1,7,7,"Yes","No",1,1,1,1,1,1,1,1,1,1,2,1
"45",10093,0.4429,2009,"Male","White",8,"2-year college plans","3",1,2.33333333333333,-0.0332074296120937,5,5,6,2,1,3,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"46",10095,0.1476,2009,"Female","Other/missing",9,"4-year college plans","5",1,3,1.30795157305972,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"47",10097,1.7477,2009,"Female","White",7,"4-year college plans","5",1.66666666666667,3,0.413354534762241,3,2,7,5,2,4,2,"Yes","Yes",3,2,1,1,1,1,5,3,3,2,3,1
"48",10101,1.3784,2009,"Male","White",2,"4-year college plans","3",1.33333333333333,2.33333333333333,0.859916499136577,5,4,7,3,2,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"49",10102,2.5084,2009,"Female","White",6,"4-year college plans","4",1.66666666666667,2.66666666666667,-0.0332074296120937,1,1,3,1,1,1,1,"Yes","No",1,1,1,1,1,1,1,1,1,1,2,1
"50",10105,1.039,2009,"Female","White",9,"4-year college plans","3",1.33333333333333,1.66666666666667,-0.481242503535234,2,1,4,2,2,2,1,"Yes","No",1,1,1,1,1,1,1,1,1,1,3,1
"51",10106,0.4684,2009,"Male","White",5,"4-year college plans","5",1,3.33333333333333,0.414827644311047,4,3,7,3,1,7,6,"Yes","No",2,1,2,1,1,1,1,1,1,1,1,1
"52",10107,1.1753,2009,"Female","White",2,"4-year college plans","3",1,3.66666666666667,-0.479769393986429,5,3,7,6,1,5,1,"Yes","No",1,1,1,1,2,1,1,1,1,1,3,1
"53",10109,0.96,2009,"Male","White",7,"4-year college plans","4",1.33333333333333,1.33333333333333,-0.929277577458375,4,3,5,2,1,6,5,"Yes","No",2,1,2,1,2,1,2,1,1,1,2,1
"54",10110,0.5349,2009,"Female","Other/missing",5,"4-year college plans","4",1.66666666666667,2,-1.37583954183271,2,1,3,1,1,6,3,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"55",10111,0.7376,2009,"Male","White",8,"4-year college plans","6",2,2.33333333333333,1.30795157305972,3,2,7,4,2,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"56",10112,1.3389,2009,"Female","Other/missing",6,"4-year college plans","1",2.66666666666667,3.33333333333333,0.414827644311047,1,1,2,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"57",10118,0.543,2009,"Female","White",7,"4-year college plans","5",2,2.33333333333333,-0.481242503535234,1,1,2,1,1,2,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"58",10119,1.4277,2009,"Male","Hispanic",8,"2-year college plans","4",2.33333333333333,2,1.30795157305972,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"59",10120,1.534,2009,"Female","White",8,"2-year college plans","4",1.33333333333333,2.33333333333333,-0.929277577458375,1,1,2,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"60",10123,0.5314,2009,"Male","White",1,"2-year college plans","2",2,3,-1.37583954183271,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"61",10124,1.0809,2009,"Male","Hispanic",7,"4-year college plans","4",1.33333333333333,2.33333333333333,-1.37583954183271,4,3,5,2,1,7,4,"Yes","Yes",3,2,1,1,1,1,1,1,1,1,3,1
"62",10126,2.2795,2009,"Male","White",9,"4-year college plans","4",1.66666666666667,3,-0.0332074296120937,1,1,6,2,1,1,1,"Yes","No",3,1,1,1,1,1,1,1,3,1,2,1
"63",10127,0.5119,2009,"Male","Hispanic",3,"2-year college plans","5",2,3.33333333333333,0.859916499136577,4,4,5,2,1,5,2,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"64",10129,1.736,2009,"Male","White",4,"No college plans","3",1.66666666666667,1.66666666666667,-1.37583954183271,1,1,7,2,1,7,2,"Yes","No",1,1,1,1,1,1,1,1,1,1,2,1
"65",10130,0.9552,2009,"Male","White",3,"4-year college plans","3",1,2,-1.37583954183271,1,1,5,2,1,6,4,"Yes","Yes",3,1,1,1,2,1,2,2,2,2,4,1
"66",10131,3.1238,2009,"Female","White",8,"4-year college plans","6",1,2.33333333333333,0.859916499136577,1,1,3,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"67",10134,0.8199,2009,"Male","White",9,"4-year college plans","5",1.33333333333333,2.66666666666667,0.861389608685382,1,1,2,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"68",10135,0.5652,2009,"Male","Hispanic",5,"4-year college plans","3",2,2.66666666666667,-0.481242503535234,1,1,2,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"69",10138,1.6039,2009,"Male","White",7,"4-year college plans","6",2.33333333333333,2.33333333333333,-0.481242503535234,2,2,3,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"70",10139,0.4726,2009,"Female","Black",5,"4-year college plans","3",1.33333333333333,2.33333333333333,1.30795157305972,1,1,4,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"71",10140,0.9576,2009,"Male","White",8,"4-year college plans","4",1.33333333333333,1,-0.0346805391608991,2,1,6,2,1,7,2,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
